		PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1353	¬NF1  & NRAS 	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0.081668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1354	¬BRAF  & ¬NF1  & NRAS 	0	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0	0.12975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1355	¬BRAF  & NRAS  & ¬NF2 	0	0	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0.22831	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1356	NRAS  & ¬NF2 	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40773	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1357	¬d19p12  & NRAS  & ¬NF2 	0	-1	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0.40823	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1358	¬d19p12  & NRAS 	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0.2121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1359	¬d19p12  & ¬d(FANCG,PAX5)  & NRAS 	0	-1	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	NaN	NaN	NaN	NaN	0.11372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13510	¬d(FANCG,PAX5)  & ¬KRAS  & NRAS 	0	0	-1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	0	NaN	NaN	0.082354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13511	¬d(FANCG,PAX5)  & ¬BRAF  & NRAS 	0	0	-1	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	0	NaN	0.1618	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13512	¬d(FANCG,PAX5)  & ¬CREBBP  & NRAS 	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	0	NaN	NaN	NaN	0.096621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13513	¬CREBBP  & NRAS 	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	0.1945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13514	¬KRAS  & NRAS 	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	NaN	0.18023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13515	¬KRAS  & ¬BRAF  & NRAS 	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	0	NaN	0.22831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13516	¬KRAS  & ¬NF1  & NRAS 	0	0	0	0	-1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	0	0.0503	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13517	¬CREBBP  & ¬KRAS  & NRAS 	0	0	0	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	0.1945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13518	¬CREBBP  & ¬BRAF  & NRAS 	0	0	0	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	0	NaN	0.22831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13519	¬CREBBP  & ¬NF1  & NRAS 	0	0	0	-1	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	0	0.064568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13520	¬CREBBP  & NRAS  & ¬NF2 	0	0	0	-1	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	0.42199	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13521	¬CREBBP  & NRAS  & ¬CDKN2A 	0	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	0.15463	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13522	¬KRAS  & NRAS  & ¬NF2 	0	0	0	0	-1	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	NaN	0.40773	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13523	¬BRAF  & NRAS 	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0.25967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13524	¬BRAF  & NRAS  & ¬CDKN2A 	0	0	0	0	0	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0.25967	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13525	¬BRAF  & NRAS  & ¬EP300 	0	0	0	0	0	-1	0	1	0	0	-1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0.22831	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13526	¬BRAF  & NRAS  & ¬PIK3CA 	0	0	0	0	0	-1	0	1	0	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0.25967	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1401	¬KRAS  & NRAS  & ¬H2O2-UP 	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0 
CV error: 0.52866	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	NaN	0.16768	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1402	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & ¬H2O2-UP 	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.089899	NaN	NaN	0	0.11919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.081328	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1403	NRAS  & ¬H2O2-UP 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19635	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1404	NRAS 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.27768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1405	¬CREBBP  & ¬BRAF  & ¬NF1  & NRAS 	0	0	0	-1	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	0	0	0.17029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1406	¬BRAF  & NRAS 	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0.31769	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1407	¬KRAS  & ¬BRAF  & ¬NF1  & NRAS 	0	0	0	0	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	0	0	0.17029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1408	¬KRAS  & ¬NF1  & NRAS 	0	0	0	0	-1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	0	0.13028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1409	¬d(FANCG,PAX5)  & ¬CREBBP  & ¬NF1  & NRAS 	0	0	-1	-1	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	0	NaN	NaN	0	0.053423	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14010	¬KRAS  & NRAS 	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	NaN	0.24901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14011	¬NF1  & NRAS 	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0.15895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14012	¬d(FANCG,PAX5)  & ¬KRAS  & ¬BRAF  & NRAS 	0	0	-1	0	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	0	0	NaN	0.19958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14013	¬d(FANCG,PAX5)  & NRAS 	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0.18824	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14014	¬d(FANCG,PAX5)  & ¬NF1  & NRAS  & ¬H2O2-UP 	0	0	-1	0	0	0	-1	1	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14015	¬CREBBP  & ¬KRAS  & ¬BRAF  & NRAS 	0	0	0	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	0	NaN	0.28902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14016	¬d(FANCG,PAX5)  & ¬NF1  & NRAS 	0	0	-1	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	0.069049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14017	¬CREBBP  & NRAS 	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	0.26205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14018	¬d(FANCG,PAX5)  & ¬CREBBP  & NRAS 	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	0	NaN	NaN	NaN	0.17261	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14019	¬BRAF  & ¬NF1  & NRAS  & ¬TGFB-DOWN 	0	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0	0.17029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 14020	¬NF1  & NRAS  & ¬TGFB-UP  & ¬TGFB-DOWN 	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	-1	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0.13122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN 
																					 
Model 14021	¬NF1  & NRAS  & ¬TGFB-DOWN 	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0.13028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 14022	¬KRAS  & ¬NF1  & NRAS  & ¬NF2 	0	0	0	0	-1	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	0	0.33817	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14023	¬KRAS  & ¬BRAF  & NRAS  & ¬H2O2-UP 	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	0	NaN	0.20769	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14024	¬KRAS  & ¬NF1  & NRAS  & ¬EP300 	0	0	0	0	-1	0	-1	1	0	0	-1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	0	0.14332	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14025	¬d(FANCG,PAX5)  & ¬NF1  & NRAS  & ¬NF2 	0	0	-1	0	0	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	0.24828	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14026	¬d(FANCG,PAX5)  & ¬CREBBP  & NRAS  & ¬H2O2-UP 	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	0	NaN	NaN	NaN	0.091284	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1411	¬KRAS  & NF2 	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0.035279	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1412	¬KRAS  & NF2  & ¬PI3K_only-DOWN 	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0.035279	NaN	NaN	NaN	0.53355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 1413	¬CREBBP  & NF2  & ¬PI3K_only-DOWN 	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.035279	NaN	NaN	NaN	NaN	0.53355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 1414	¬CREBBP  & NF2 	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.035279	NaN	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1415	¬CREBBP  & ¬KRAS  & NF2 	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1416	¬CREBBP  & ¬KRAS  & NF2  & ¬PI3K_only-DOWN 	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0.53355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 1417	¬CREBBP  & ¬KRAS  & NF2  & ¬EP300 	0	0	0	-1	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0.36168	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1418	¬CREBBP  & NF2  & ¬TGFB-DOWN 	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 1419	¬CREBBP  & ¬KRAS  & BRAF  & NF2 	0	0	0	-1	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	0	NaN	NaN	0.17783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14110	¬CREBBP  & ¬KRAS  & NF2  & ¬TGFB-DOWN 	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 14111	NF2  & ¬TGFB-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.035279	NaN 
																					 
Model 14112	¬KRAS  & NF2  & ¬TGFB-DOWN 	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.36168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 14113	¬CREBBP  & NF2  & ¬EP300  & ¬TGFB-DOWN 	0	0	0	-1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0.36168	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 14114	¬PTEN  & ¬KRAS  & NF2 	-1	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	0.035279	NaN	NaN	NaN	0.38686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14115	¬d19p12  & ¬KRAS  & NF2 	0	-1	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	0.035279	NaN	NaN	NaN	0.36225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14116	¬d19p12  & ¬d(FANCG,PAX5)  & ¬KRAS  & NF2 	0	-1	-1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	NaN	0.035279	NaN	NaN	NaN	0.2516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14117	¬d19p12  & ¬d(FANCG,PAX5)  & ¬CREBBP  & NF2 	0	-1	-1	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	0.035279	NaN	NaN	NaN	NaN	0.2516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14118	¬d19p12  & ¬CREBBP  & NF2 	0	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	0.035279	NaN	NaN	NaN	NaN	0.36225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14119	¬d19p12  & ¬KRAS  & BRAF  & NF2 	0	-1	0	0	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	0	0	NaN	NaN	0.17783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14120	¬d19p12  & NF2  & ¬EP300 	0	-1	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.36225	NaN	0.035279	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14121	¬d19p12  & BRAF  & NF2 	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	0.035279	NaN	NaN	0.17783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14122	¬d19p12  & BRAF  & ¬NF1  & NF2 	0	-1	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	0.035279	0	NaN	0.17783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14123	¬d19p12  & BRAF  & ¬NRAS  & NF2 	0	-1	0	0	0	1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	0.035279	NaN	0	0.17783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14124	¬d19p12  & ¬CREBBP  & ¬KRAS  & NF2 	0	-1	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	0	0	NaN	NaN	NaN	0.36225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14125	¬d19p12  & BRAF  & NF2  & ¬EP300 	0	-1	0	0	0	1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	0	NaN	NaN	0.17783	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 14126	¬d19p12  & BRAF  & NF2  & ¬PIK3CA 	0	-1	0	0	0	1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	0.035279	NaN	NaN	0.066165	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1421	¬KRAS  & NF2 	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	0.044013	NaN	NaN	NaN	0.16857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1422	¬CREBBP  & NF2 	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0.044013	NaN	NaN	NaN	NaN	0.18859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1423	NF2  & ¬TGFB-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.044013	NaN 
																					 
Model 1424	¬CREBBP  & ¬KRAS  & NF2 	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0.18859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1425	¬CREBBP  & ¬KRAS  & NF2  & ¬TGFB-DOWN 	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0.18859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN 
																					 
Model 1426	¬CREBBP  & NF2  & ¬TGFB-DOWN 	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0 
