Cell line name	Analysis Set Name	COSMIC ID	Sanger_ID	Matched status	GDSC description_1	GDSC description_2	Study Abbreviation	Comment	MMR	Analysis Set	Exome	SNP6	expression	methylation	IC50s	RNA-seq	Comment - genetics
SW837	SW837	909755	1710STDY5035348	Unmatched	large_intestine	large_intestine	COREAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SW948	SW948	909757	1710STDY5035375	Unmatched	large_intestine	large_intestine	COREAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Requested 08052014	
T84	T84	909761	CGP_CCL5103832	Unmatched	large_intestine	large_intestine	COREAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
C3A	C3A	910850	CGP_CCL5055315	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
Hep3B2-1-7	Hep 3B2_1-7	1240147	CGP_CCL5369291	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HLE	HLE	907057	CGP_CCL5055319	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
huH-1	huH-1	1298146	CGP_CCL5306268	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HuH-7	HuH-7	907071	CGP_CCL5055329	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JHH-1	JHH-1	1298151	CGP_CCL5055327	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JHH-2	JHH-2	1240157	CGP_CCL5055326	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	No	Yes	Yes	Yes	Yes	
JHH-4	JHH-4	1240158	CGP_CCL5055325	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	No	Yes	Yes	Yes	Yes	
JHH-6	JHH-6	1240159	CGP_CCL5055321	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
JHH-7	JHH-7	1240160	CGP_CCL5055322	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-HEP-1	SK-HEP-1	909719	CGP_CCL5055316	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SNU-182	SNU-182	1240216	CGP_CCL5055320	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SNU-387	SNU-387	909736	CGP_CCL5055318	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SNU-398	SNU-398	1240217	CGP_CCL5055324	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SNU-423	SNU-423	909737	CGP_CCL5055328	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SNU-449	SNU-449	909738	CGP_CCL5055317	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SNU-475	SNU-475	909739	CGP_CCL5103702	Unmatched	digestive_system	liver	LIHC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
23132-87	23132-87	910924	1710STDY5035585	Unmatched	digestive_system	stomach	STAD		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
AGS	AGS	906790	1710STDY5035586	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
ECC10	ECC10	906848	1710STDY5035610	Unmatched	digestive_system	stomach		stomach small-cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ECC12	ECC12	906849	1710STDY5035587	Unmatched	digestive_system	stomach		stomach small-cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
FU97	FU97	1290806	1710STDY5035604	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
GCIY	GCIY	906869	1710STDY5035588	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
GT3TKB	GT3TKB	907041	1710STDY5035589	Unmatched	digestive_system	stomach	STAD		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
HGC-27	HGC-27	907055	1710STDY5035605	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
Hs746T	Hs746T	1240151	1710STDY5035601	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
HSC-39	HSC-39	1322224	CGP_CCL5306301	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
IM-95	IM-95	1240155	1710STDY5035602	Unmatched	digestive_system	stomach	STAD		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
KATOIII	KATOIII	907276	CGP_CCL5228686	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
MKN1	MKN1	908138	1710STDY5035590	Unmatched	digestive_system	stomach		adeno-squamous	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MKN28	MKN28	908139	1710STDY5035591	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
MKN45	MKN45	925340	1710STDY5035592	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MKN7	MKN7	924250	1710STDY5035609	Unmatched	digestive_system	stomach	STAD		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-N87	NCI-N87	908461	1710STDY5035593	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-SNU-1	NCI-SNU-1	908444	1710STDY5035598	Unmatched	digestive_system	stomach	STAD		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
NCI-SNU-16	NCI-SNU-16	908446	1710STDY5035594	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
NCI-SNU-5	NCI-SNU-5	908445	1710STDY5035595	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NUGC-3	NUGC-3	908455	1710STDY5035596	Unmatched	digestive_system	stomach	STAD		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NUGC-4	NUGC-4	1298357	CGP_CCL5369282	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
OCUM-1	OCUM-1	1298358	CGP_CCL5228729	Unmatched	digestive_system	stomach	STAD		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RERF-GC-1B	RERF-GC-1B	1240209	1710STDY5035600	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RF-48	RF-48	909697	1710STDY5035607	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available (Discontinued by ATCC)
SCH	SCH	909711	1710STDY5035606	Unmatched	digestive_system	stomach		choriocarcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SK-GT-2	SK-GT-2	1503364	CGP_CCL5228687	Unmatched	digestive_system	stomach	STAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
TGBC11TKB	TGBC11TKB	909770	1710STDY5035597	Unmatched	digestive_system	stomach	STAD		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SW13	SW13	909744	1710STDY5035415	Unmatched	kidney	adrenal_gland	ACC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
769-P	769-P	910922	1710STDY5035391	Unmatched	kidney	kidney	KIRC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
786-0	786-0	905947	1710STDY5035392	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
A498	A498	905948	1710STDY5035393	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
A704	A704	910920	1710STDY5035408	Unmatched	kidney	kidney	KIRC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ACHN	ACHN	905950	1710STDY5035394	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BB65-RCC	BB65-RCC	753533	CGP_CCL5103731	Matched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
BFTC-909	BFTC-909	910698	1710STDY5035403	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
CAKI-1	CAKI-1	905963	1710STDY5035395	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
CAL-54	CAL-54	910952	1710STDY5035404	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
G-401	G-401	907299	1710STDY5035419	Unmatched	kidney	kidney		Wilm's tumour	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
HA7-RCC	HA7-RCC	753558	1710STDY5035409	Matched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
KMRC-1	KMRC-1	1298168	1710STDY5035417	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KMRC-20	KMRC-20	1298169	1710STDY5035412	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
LB1047-RCC	LB1047-RCC	753577	1710STDY5035410	Matched	kidney	kidney	KIRC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
LB2241-RCC	LB2241-RCC	753578	1710STDY5035406	Matched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
LB996-RCC	LB996-RCC	753585	1710STDY5035405	Matched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
NCC010	NCC010	1509073	CGP_CCL5228720	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
NCC021	NCC021	1509074	CGP_CCL5228724	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
OS-RC-2	OS-RC-2	909250	1710STDY5035396	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RCC10RGB	RCC10RGB	909974	1710STDY5035397	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RCC-AB	RCC-AB	1524418	CGP_CCL5228732	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RCC-ER	RCC-ER	1524417	CGP_CCL5228742	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RCC-FG2	RCC-FG2	1524414	CGP_CCL5228738	Unmatched	kidney	kidney	KIRC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
RCC-JF	RCC-JF	1524415	CGP_CCL5369340	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	No	Yes		
RCC-JW	RCC-JW	1524416	CGP_CCL5228730	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RCC-MF	RCC-MF	1524419	CGP_CCL5228734	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RXF393	RXF393	905978	1710STDY5035398	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SK-NEP-1	SK-NEP-1	909730	1710STDY5035418	Unmatched	kidney	kidney		SK-NEP-1 expresses EWS-FLI1 gene fusion & Putative Ewing's sarcoma identified through transcriptional/genomic/drug response profile matching	MSI-S	No	Yes	Yes	Yes	Yes	Yes		
SN12C	SN12C	905979	1710STDY5035402	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SW156	SW156	1240220	1710STDY5035413	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	No	Yes	Yes	Yes		
TK10	TK10	905980	1710STDY5035399	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
U031	U031	905981	1710STDY5035400	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
VMRC-RCW	VMRC-RCW	1240224	1710STDY5035414	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	No	No	Yes	Yes	
VMRC-RCZ	VMRC-RCZ	909781	CGP_CCL5228696	Unmatched	kidney	kidney	KIRC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
201T	201T	1287381	1710STDY5034701	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
A549	A549	905949	1710STDY5034564	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
ABC-1	ABC-1	906791	CGP_CCL5228677	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
Calu-3	Calu-3	687777	CGP_CCL5306262	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Calu-6	Calu-6	724859	1710STDY5034566	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
COR-L105	COR-L105	906805	1710STDY5034569	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EKVX	EKVX	905970	1710STDY5034572	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EMC-BAC-1	EMC-BAC-1	1503369	CGP_CCL5228701	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
EMC-BAC-2	EMC-BAC-2	1503370	CGP_CCL5228699	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
H3255	H3255	1247873	1710STDY5034693	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
HCC-44	HCC-44	1240145	1710STDY5034697	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
HCC-78	HCC-78	1290908	CGP_CCL5306163	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HCC-827	HCC-827	1240146	1710STDY5034694	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HOP-62	HOP-62	905972	1710STDY5034573	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	No	Yes	Yes	
LC-2-ad	LC-2-ad	907786	1710STDY5034578	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
LXF-289	LXF-289	753592	1710STDY5034583	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1355	NCI-H1355	724866	1710STDY5034585	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1395	NCI-H1395	684681	1710STDY5034586	Matched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1435	NCI-H1435	1298347	CGP_CCL5369313	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
NCI-H1437	NCI-H1437	687794	1710STDY5034587	Matched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	No	Yes	Yes	Yes	
NCI-H1563	NCI-H1563	753600	CGP_CCL5228678	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1568	NCI-H1568	1298348	1710STDY5034721	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
NCI-H1573	NCI-H1573	908472	1710STDY5034685	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1623	NCI-H1623	687798	1710STDY5034639	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1648	NCI-H1648	687799	1710STDY5034589	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1650	NCI-H1650	687800	1710STDY5034590	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1651	NCI-H1651	910900	1710STDY5034640	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1666	NCI-H1666	908473	1710STDY5034591	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1693	NCI-H1693	687802	1710STDY5034592	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1703	NCI-H1703	908474	1710STDY5034593	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma		mixed adeno-squamous	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1734	NCI-H1734	722058	1710STDY5034712	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1755	NCI-H1755	908475	1710STDY5034677	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1781	NCI-H1781	1298350	1710STDY5034653	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1792	NCI-H1792	724868	1710STDY5034594	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1793	NCI-H1793	908463	1710STDY5034683	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1838	NCI-H1838	687807	1710STDY5034595	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1944	NCI-H1944	1240185	CGP_CCL5306227	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1975	NCI-H1975	924244	1710STDY5034596	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H1993	NCI-H1993	908476	1710STDY5034678	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
NCI-H2009	NCI-H2009	724873	1710STDY5034597	Matched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
NCI-H2023	NCI-H2023	1240187	1710STDY5034622	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2030	NCI-H2030	722045	1710STDY5034598	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2085	NCI-H2085	687812	1710STDY5034617	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2087	NCI-H2087	724834	1710STDY5034686	Matched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2122	NCI-H2122	722046	1710STDY5034599	Matched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
NCI-H2126	NCI-H2126	687814	1710STDY5034674	Matched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Exclude	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2228	NCI-H2228	687816	1710STDY5034601	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2291	NCI-H2291	724874	1710STDY5034627	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H23	NCI-H23	905942	1710STDY5034603	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2342	NCI-H2342	687819	1710STDY5034645	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
NCI-H2347	NCI-H2347	687820	1710STDY5034628	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H2405	NCI-H2405	687821	1710STDY5034643	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H292	NCI-H292	753604	1710STDY5034604	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma		mucoepidermoid carcinoma	MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H3122	NCI-H3122	1240190	1710STDY5034625	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
NCI-H322M	NCI-H322M	905967	1710STDY5034605	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H358	NCI-H358	908465	1710STDY5034606	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H441	NCI-H441	908460	1710STDY5034633	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H522	NCI-H522	905944	1710STDY5034610	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H596	NCI-H596	908459	1710STDY5034648	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma		mixed adeno-squamous	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H650	NCI-H650	722066	1710STDY5034681	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H838	NCI-H838	910399	CGP_CCL5103783	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
PC-14	PC-14	753608	1710STDY5034615	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
PC-3 [JPC-3]	PC-3 [JPC-3]	1240202	CGP_CCL5055300	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	No	Yes		
RERF-LC-KJ	RERF-LC-KJ	1298537	CGP_CCL5306245	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RERF-LC-MS	RERF-LC-MS	910931	1710STDY5034634	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-LU-1	SK-LU-1	909721	1710STDY5034682	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SW1573	SW1573	724878	CGP_CCL5228688	Unmatched	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H720	NCI-H720	687600	CGP_CCL5103696	Unmatched	lung_NSCLC	lung_NSCLC_carcinoid			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
NCI-H727	NCI-H727	724855	1710STDY5034613	Unmatched	lung_NSCLC	lung_NSCLC_carcinoid			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NCI-H835	NCI-H835	753607	CGP_CCL5228708	Unmatched	lung_NSCLC	lung_NSCLC_carcinoid			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
UMC-11	UMC-11	909779	1710STDY5034667	Unmatched	lung_NSCLC	lung_NSCLC_carcinoid			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		poor growth
