Model	ModelDescription	CVError	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 13013	¬NF1  & NRAS  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.14332	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13014	¬KRAS  & ¬BRAF  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	-1/0	0/NaN	1/0.28902	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13015	¬d19p12  & ¬BRAF  & NRAS 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.31815	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13016	¬d19p12  & ¬d(FANCG,PAX5)  & NRAS 	NA	0/NaN	-1/0	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18824	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13017	¬d(FANCG,PAX5)  & ¬BRAF  & NRAS 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	-1/0	0/NaN	1/0.22825	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13018	¬d(FANCG,PAX5)  & ¬CREBBP  & NRAS 	NA	0/NaN	0/NaN	-1/0	-1/0	0/NaN	0/NaN	0/NaN	1/0.17261	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13019	¬d(FANCG,PAX5)  & ¬KRAS  & NRAS 	NA	0/NaN	0/NaN	-1/0	0/NaN	-1/0	0/NaN	0/NaN	1/0.15957	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13020	¬d(FANCG,PAX5)  & ¬NF1  & NRAS 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	-1/0	1/0.069049	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13021	¬CREBBP  & ¬BRAF  & NRAS 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	-1/0	0/NaN	1/0.28902	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13022	¬KRAS  & NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.16768	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13023	¬KRAS  & NRAS  & ¬NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.4569	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13024	¬CREBBP  & ¬KRAS  & NRAS 	NA	0/NaN	0/NaN	0/NaN	-1/0	-1/0	0/NaN	0/NaN	1/0.26205	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13025	¬CREBBP  & NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.18072	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13026	¬BRAF  & ¬NF1  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	-1/0	1/0.19896	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1311	¬KRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1312	¬KRAS  & NF2  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	1/0.36225	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1313	NF2  & ¬EP300  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36225	0/NaN	-1/0.035279	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1314	¬CREBBP  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1315	¬PTEN  & ¬CREBBP  & NF2 	NA	-1/0	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38686	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1316	¬CREBBP  & ¬KRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0	-1/0	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1317	¬KRAS  & NF2  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1318	NF2  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1319	¬CREBBP  & NF2  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13110	¬d(FANCG,PAX5)  & NF2  & ¬EP300 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.2516	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13111	¬PTEN  & NF2  & ¬EP300 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38686	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13112	NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.035279	0 /NaN 
Model 13113	NF2  & ¬PIK3CA  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25002	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.035279	0 /NaN 
Model 13114	¬KRAS  & NF2  & ¬PIK3CA 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	1/0.25002	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13115	¬CREBBP  & NF2  & ¬PIK3CA 	NA	0/NaN	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25002	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13116	¬KRAS  & NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 13117	¬CREBBP  & NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36168	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 13118	¬PTEN  & ¬KRAS  & NF2 	NA	-1/0	0/NaN	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	1/0.38686	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13119	¬d19p12  & ¬KRAS  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	1/0.36225	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13120	¬d19p12  & ¬CREBBP  & NF2 	NA	0/NaN	-1/0	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36225	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13121	¬d19p12  & NF2  & ¬EP300 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36225	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13122	¬d19p12  & BRAF  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.035279	0/NaN	0/NaN	1/0.17783	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13123	¬PTEN  & BRAF  & NF2 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.035279	0/NaN	0/NaN	1/0.17783	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13124	¬PTEN  & NF2  & ¬TGFB-DOWN 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38686	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.035279	0 /NaN 
Model 13125	¬d(FANCG,PAX5)  & ¬KRAS  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	-1/0.035279	0/NaN	0/NaN	0/NaN	1/0.2516	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13126	¬CREBBP  & BRAF  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0	0/NaN	0/NaN	1/0.17783	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1321	¬KRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0/NaN	0/NaN	0/NaN	1/0.16857	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1322	¬CREBBP  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0.044013	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18859	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1323	NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.16857	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0 /NaN 
Model 1324	¬CREBBP  & ¬KRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0	-1/0	0/NaN	0/NaN	0/NaN	1/0.18859	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1325	¬CREBBP  & NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18859	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 1326	BRAF  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.044013	0/NaN	0/NaN	1/0.25778	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1327	¬KRAS  & BRAF  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0	0/NaN	0/NaN	1/0.25778	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1328	¬d(FANCG,PAX5)  & ¬CREBBP  & NF2 	NA	0/NaN	0/NaN	-1/0	-1/0.044013	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18929	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1329	¬d19p12  & ¬CREBBP  & NF2 	NA	0/NaN	-1/0	0/NaN	-1/0.044013	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18929	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13210	NF2  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18859	0/NaN	-1/0.044013	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13211	¬CREBBP  & NF2  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18859	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13212	¬CREBBP  & ¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0.044013	0/NaN	0/NaN	-1/0	0/NaN	1/0.18929	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13213	¬d19p12  & ¬KRAS  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	-1/0.044013	0/NaN	0/NaN	0/NaN	1/0.16927	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13214	¬d19p12  & NF2  & ¬TGFB-DOWN 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.16927	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0 /NaN 
Model 13215	¬d19p12  & BRAF  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.044013	0/NaN	0/NaN	1/0.25778	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13216	¬d(FANCG,PAX5)  & ¬KRAS  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	-1/0.044013	0/NaN	0/NaN	0/NaN	1/0.16927	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13217	¬NF1  & NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.16927	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0 /NaN 
Model 13218	¬NRAS  & NF2  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.38051	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0 /NaN 
Model 13219	¬CREBBP  & BRAF  & NF2 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0	0/NaN	0/NaN	1/0.2778	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13220	BRAF  & ¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.044013	-1/0	0/NaN	1/0.25778	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13221	NF2  & ¬CDKN2A  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.11262	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0 /NaN 
Model 13222	NF2  & ¬PIK3CA  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.029259	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0 /NaN 
Model 13223	NF2  & ¬CDKN2A  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.13264	-1/0	-1/0.044013	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13224	NF2  & ¬EP300  & ¬PIK3CA 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.049278	0/NaN	-1/0.044013	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13225	¬KRAS  & ¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0/NaN	-1/0	0/NaN	1/0.16927	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13226	¬KRAS  & ¬NRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.044013	0/NaN	0/NaN	-1/0	1/0.38051	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1331	NRAS  & ¬CDKN2A  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36927	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1332	¬d(FANCG,PAX5)  & ¬BRAF  & NRAS 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	-1/0	0/NaN	1/0.29668	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1333	NRAS  & ¬CDKN2A 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.49017	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1334	NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.41277	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1335	¬BRAF  & NRAS  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.42963	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1336	¬BRAF  & ¬NF1  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	-1/0	1/0.25314	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1337	¬BRAF  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.42963	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1338	¬d(FANCG,PAX5)  & ¬NF1  & NRAS 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	-1/0	1/0.2342	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1339	¬BRAF  & NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.30874	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13310	¬CREBBP  & ¬BRAF  & NRAS 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	-1/0	0/NaN	1/0.42963	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13311	¬NF1  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.36783	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13312	NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.42343	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13313	¬BRAF  & NRAS  & ¬CDKN2A 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.42963	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13314	¬d19p12  & ¬BRAF  & NRAS 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.43032	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13315	¬d19p12  & NRAS  & ¬CDKN2A 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.49085	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13316	¬d19p12  & ¬d(FANCG,PAX5)  & NRAS 	NA	0/NaN	-1/0	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.41137	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13317	¬d19p12  & ¬CREBBP  & NRAS 	NA	0/NaN	-1/0	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.56439	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13318	¬d19p12  & ¬NF1  & NRAS 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.36783	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13319	¬d19p12  & NRAS  & ¬H2O2-UP 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.42411	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13320	¬d19p12  & NRAS  & ¬EP300 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.56439	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13321	¬CREBBP  & ¬NF1  & NRAS 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	-1/0	1/0.38721	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13322	¬CREBBP  & NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.44281	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 13323	¬CREBBP  & NRAS  & ¬CDKN2A 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.50955	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
