		PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.043979	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 12512	NF2  & 曷GFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN 
																					 
Model 12513	NF2  & 柱nt-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 1301	查(FANCG,PAX5)  & 昧F1  & NF2 	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
CV error: 0.64932	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1302	昧RAS  & NF2  & 斫2O2-UP 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.14916	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1303	查(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.048391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1304	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1305	昧F1  & NF2  & 斫2O2-UP 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.026123	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1306	昧F1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.070996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1307	昧F1  & 昧RAS  & NF2 	0	0	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.048031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1308	昧RAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.19404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1309	NF2  & 斫2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.17213	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13010	昧RAS  & NF2  & 昤MARCA4 	0	0	0	0	0	0	0	-1	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.27392	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13011	星TEN  & 昧RAS  & NF2 	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	0	0.12365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13012	NF2  & 昤MARCA4  & 施L-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.18617	NaN	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 13013	NF2  & 施L-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.10628	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 13014	星TEN  & 昧F1  & NF2 	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	0	NaN	0.10436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13015	星TEN  & 查19p12  & NF2 	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0.10436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13016	星TEN  & NF2  & 斫2O2-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.13511	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13017	NF2  & 查13q14.2  & 斫2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.09651	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13018	星TEN  & 查(FANCG,PAX5)  & NF2 	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	0	NaN	NaN	NaN	NaN	NaN	0.011367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13019	查19p12  & 昧RAS  & NF2 	0	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0.11842	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13020	查19p12  & 查(FANCG,PAX5)  & NF2 	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	NaN	NaN	NaN	NaN	NaN	0.048391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13021	查(FANCG,PAX5)  & 昧RAS  & NF2 	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0	0.025426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13022	NF2  & 拴DKN2A 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16666	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13023	查19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.14138	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13024	查(FANCG,PAX5)  & NF2  & 斫2O2-UP 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.0035176	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13025	星TEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.17998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13026	昧F1  & NF2  & 拴DKN2A 	0	0	0	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.020656	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1311	TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 1312	查(FANCG,PAX5)  & 昧RAS  & TGFB-UP 	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16798	NaN	NaN	NaN 
																					 
Model 1313	昧F1  & 昧RAS  & TGFB-UP 	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1995	NaN	NaN	NaN 
																					 
Model 1314	昧F1  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.23152	NaN	NaN	NaN 
																					 
Model 1315	星TEN  & 昧F1  & TGFB-UP 	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.27803	NaN	NaN	NaN 
																					 
Model 1316	昧RAS  & 斫2O2-UP  & TGFB-UP 	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.3405	NaN	NaN	NaN 
																					 
Model 1317	昧RAS  & TGFB-UP 	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40306	NaN	NaN	NaN 
																					 
Model 1318	昤MARCA4  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.54646	NaN	NaN	NaN 
																					 
Model 1319	拴REBBP  & 昧RAS  & TGFB-UP 	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.51444	NaN	NaN	NaN 
																					 
Model 13110	昧F1  & 斫2O2-UP  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.16895	NaN	NaN	NaN 
																					 
Model 13111	昧F1  & 施L-1-UP  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.18258	NaN	NaN	NaN 
																					 
Model 13112	施L-1-UP  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.28071	NaN	NaN	NaN 
																					 
Model 13113	查(FANCG,PAX5)  & TGFB-UP 	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2	NaN	NaN	NaN 
																					 
Model 13114	查(FANCG,PAX5)  & 斫2O2-UP  & TGFB-UP 	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.13744	NaN	NaN	NaN 
																					 
Model 13115	斫2O2-UP  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.37252	NaN	NaN	NaN 
																					 
Model 13116	星TEN  & 拴REBBP  & TGFB-UP 	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.49484	NaN	NaN	NaN 
																					 
Model 13117	查(FANCG,PAX5)  & 昧F1  & TGFB-UP 	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.10186	NaN	NaN	NaN 
																					 
Model 13118	挂P300  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.54646	NaN	NaN	NaN 
																					 
Model 13119	星TEN  & TGFB-UP 	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.38346	NaN	NaN	NaN 
																					 
Model 13120	星TEN  & 查19p12  & TGFB-UP 	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.27803	NaN	NaN	NaN 
																					 
Model 13121	拴REBBP  & 斫2O2-UP  & TGFB-UP 	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.48389	NaN	NaN	NaN 
																					 
Model 13122	星TEN  & 斫2O2-UP  & TGFB-UP 	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.3209	NaN	NaN	NaN 
																					 
Model 13123	拴DKN2A  & 查13q14.2  & TGFB-UP 	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	0.25947	NaN	NaN	NaN 
																					 
Model 13124	星TEN  & 拾RAF  & TGFB-UP 	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.37618	NaN	NaN	NaN 
																					 
Model 13125	拾RAF  & 昧RAS  & TGFB-UP 	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.39578	NaN	NaN	NaN 
																					 
Model 13126	拾RAF  & TGFB-UP 	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4278	NaN	NaN	NaN 
																					 
Model 1321	昧F1  & NF2  & 斫2O2-UP 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.024641	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1322	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1323	昧F1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.078403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1324	NF2  & 斫2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19957	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1325	查19p12  & NF2  & 斫2O2-UP 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.10897	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1326	查(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.05132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1327	查(FANCG,PAX5)  & 昧F1  & NF2 	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1328	星TEN  & NF2  & 斫2O2-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.15521	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1329	查(FANCG,PAX5)  & NF2  & 斫2O2-UP 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13210	昧F1  & 昧RAS  & NF2 	0	0	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.050888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13211	查19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.16273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13212	昧RAS  & NF2  & 斫2O2-UP 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.17205	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13213	昧RAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.22582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13214	星TEN  & 昧RAS  & NF2 	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	0	0.14149	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13215	星TEN  & 昧F1  & NF2 	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	0	NaN	0.11837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13216	查(FANCG,PAX5)  & 昧RAS  & NF2 	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0	0.023806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13217	查19p12  & 昧RAS  & NF2 	0	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0.13522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13218	查19p12  & 查(FANCG,PAX5)  & NF2 	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	NaN	NaN	NaN	NaN	NaN	0.05132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13219	星TEN  & 查19p12  & NF2 	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0.11837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13220	星TEN  & 查(FANCG,PAX5)  & NF2 	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	0	NaN	NaN	NaN	NaN	NaN	0.0069629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13221	查19p12  & 昧F1  & NF2 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.078403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13222	查19p12  & NF2  & 星IK3CA 	0	-1	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.15242	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13223	星TEN  & NF2  & 星IK3CA 	-1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19866	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13224	星TEN  & NF2  & 查13q14.2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11837	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13225	星TEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20897	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13226	星TEN  & NF2  & 施L-1-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11837	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 1331	查(FANCG,PAX5)  & 拾RAF  & 昧F1 	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.10824	NaN	NaN	0	0.08193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1332	查(FANCG,PAX5)  & 拾RAF  & 斫2O2-UP 	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.10824	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.052233	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1341	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1342	NF2  & 查13q14.2  & 施L-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20973	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN 
																					 
